แหล่งอ้างอิง,รายละเอียด,ค่าที่รายงาน (PM2.5 ?g/m?),ค่าเปรียบเทียบความแตกต่าง
ตัวอย่างค่าเฉลี่ยของวันที่ 19/03/2025,,,
AQICN API,เว็บมาตรฐานตรวจวัดฝุ่น PM2.5 ในพื้นที่ใกล้เคียง,91,4%
IQAir,แสดงค่าคุณภาพอากาศและ AQI ทั้งวัน,90,5%
ระบบของเรา,ค่าที่ได้จากเซ็นเซอร์และเฉลี่ยรายชั่วโมง,95,
ตัวอย่างค่าเฉลี่ยของวันที่ 20/03/2025,,,
AQICN API,เว็บมาตรฐานตรวจวัดฝุ่น PM2.5 ในพื้นที่ใกล้เคียง,101,12%
IQAir,แสดงค่าคุณภาพอากาศและ AQI ทั้งวัน,108,20%
ระบบของเรา,ค่าที่ได้จากเซ็นเซอร์และเฉลี่ยรายชั่วโมง,90,
ตัวอย่างค่าเฉลี่ยของวันที่ 21/03/2025,,,
AQICN API,เว็บมาตรฐานตรวจวัดฝุ่น PM2.5 ในพื้นที่ใกล้เคียง,136,5%
IQAir,แสดงค่าคุณภาพอากาศและ AQI ทั้งวัน,148,14%
ระบบของเรา,ค่าที่ได้จากเซ็นเซอร์และเฉลี่ยรายชั่วโมง,130,
ตัวอย่างค่าเฉลี่ยของวันที่ 22/03/2025,,,
AQICN API,เว็บมาตรฐานตรวจวัดฝุ่น PM2.5 ในพื้นที่ใกล้เคียง,147,5%
IQAir,แสดงค่าคุณภาพอากาศและ AQI ทั้งวัน,148,5%
ระบบของเรา,ค่าที่ได้จากเซ็นเซอร์และเฉลี่ยรายชั่วโมง,155,
ตัวอย่างค่าเฉลี่ยของวันที่ 23/03/2025,,,
AQICN API,เว็บมาตรฐานตรวจวัดฝุ่น PM2.5 ในพื้นที่ใกล้เคียง,156,30%
IQAir,แสดงค่าคุณภาพอากาศและ AQI ทั้งวัน,130,8%
ระบบของเรา,ค่าที่ได้จากเซ็นเซอร์และเฉลี่ยรายชั่วโมง,120,
ตัวอย่างค่าเฉลี่ยของวันที่ 24/03/2025,,,
AQICN API,เว็บมาตรฐานตรวจวัดฝุ่น PM2.5 ในพื้นที่ใกล้เคียง,173,8%
IQAir,แสดงค่าคุณภาพอากาศและ AQI ทั้งวัน,152,5%
ระบบของเรา,ค่าที่ได้จากเซ็นเซอร์และเฉลี่ยรายชั่วโมง,160,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
